playoff_round,round_name,conference,slot,away,home,away_wins,home_wins,projected_winner,away_series_win_prob,home_series_win_prob,avg_remaining_games,projected_avg_games_in_series,projected_mean_games_in_series,projected_rounded_games_in_series,prob_series_goes_seven,projected_total_goals_series,projected_goals_per_game
4,Stanley Cup Final,,SCF,CAR,LAK,0,0,CAR,0.99,0.010000000000000009,4.6,4.6,4.6,5,0.0342,31.9,6.94
4,Stanley Cup Final,,SCF,CAR,MIN,0,0,CAR,0.5433333333333333,0.45666666666666667,5.81,5.81,5.81,6,0.2967,42.8,7.37
4,Stanley Cup Final,,SCF,CAR,UTA,0,0,CAR,0.9158333333333334,0.08416666666666661,5.23,5.23,5.23,5,0.1283,39.0,7.45
4,Stanley Cup Final,,SCF,CAR,VGK,0,0,CAR,0.7641666666666667,0.23583333333333334,5.59,5.59,5.59,6,0.2558,38.8,6.94
4,Stanley Cup Final,,SCF,MTL,ANA,0,0,ANA,0.4058333333333333,0.5941666666666667,5.8,5.8,5.8,6,0.3083,47.4,8.18
4,Stanley Cup Final,,SCF,MTL,COL,0,0,COL,0.20166666666666666,0.7983333333333333,5.58,5.58,5.58,6,0.2492,42.2,7.56
4,Stanley Cup Final,,SCF,MTL,DAL,0,0,MTL,0.5991666666666666,0.4008333333333334,5.8,5.8,5.8,6,0.3058,41.5,7.15
4,Stanley Cup Final,,SCF,MTL,EDM,0,0,MTL,0.9816666666666667,0.018333333333333313,4.84,4.84,4.84,5,0.0583,40.0,8.25
4,Stanley Cup Final,,SCF,MTL,LAK,0,0,MTL,0.8108333333333333,0.1891666666666667,5.7,5.7,5.7,6,0.2925,40.4,7.08
4,Stanley Cup Final,,SCF,MTL,MIN,0,0,MTL,0.6891666666666667,0.3108333333333333,5.82,5.82,5.82,6,0.3217,42.1,7.24
4,Stanley Cup Final,,SCF,MTL,UTA,0,0,MTL,0.9416666666666667,0.05833333333333335,5.08,5.08,5.08,5,0.1183,39.6,7.8
4,Stanley Cup Final,,SCF,MTL,VGK,0,0,MTL,0.9091666666666667,0.09083333333333332,5.28,5.28,5.28,5,0.1658,34.6,6.56
4,Stanley Cup Final,,SCF,OTT,ANA,0,0,OTT,0.725,0.275,5.87,5.87,5.87,6,0.3092,44.0,7.51
4,Stanley Cup Final,,SCF,OTT,COL,0,0,COL,0.10833333333333334,0.8916666666666666,5.31,5.31,5.31,5,0.1733,37.7,7.1
4,Stanley Cup Final,,SCF,OTT,DAL,0,0,DAL,0.2925,0.7075,5.7,5.7,5.7,6,0.2792,39.8,6.98
4,Stanley Cup Final,,SCF,OTT,EDM,0,0,OTT,0.8316666666666667,0.16833333333333333,5.62,5.62,5.62,6,0.2183,44.6,7.93
4,Stanley Cup Final,,SCF,OTT,LAK,0,0,OTT,0.9366666666666666,0.06333333333333335,5.14,5.14,5.14,5,0.1158,30.6,5.95
4,Stanley Cup Final,,SCF,OTT,MIN,0,0,MIN,0.4841666666666667,0.5158333333333334,5.86,5.86,5.86,6,0.32,40.5,6.91
4,Stanley Cup Final,,SCF,OTT,UTA,0,0,OTT,0.5941666666666666,0.4058333333333334,5.99,5.99,5.99,6,0.3583,45.2,7.54
4,Stanley Cup Final,,SCF,OTT,VGK,0,0,OTT,0.9225,0.07750000000000001,5.2,5.2,5.2,5,0.1342,36.8,7.07
