frame,timestamp,player_detected,player_bbox,player_center_x,player_center_y,stride_length,stride_frequency,player_speed
110,1.8644067796610169,False,,,,,,
111,1.88135593220339,True,"[723, 329, 50, 76]",748.0,367.0,,,
112,1.8983050847457628,False,,,,,,
113,1.9152542372881356,False,,,,,,
114,1.9322033898305084,True,"[723, 329, 50, 76]",748.0,367.0,,,
115,1.9491525423728813,False,,,,,,
116,1.9661016949152543,False,,,,,,
117,1.9830508474576272,True,"[723, 329, 50, 76]",748.0,367.0,,,
118,2.0,False,,,,,,
119,2.016949152542373,False,,,,,,
120,2.0338983050847457,True,"[723, 329, 50, 76]",748.0,367.0,,,
121,2.0508474576271185,False,,,,,,
122,2.0677966101694913,False,,,,,,
123,2.0847457627118646,True,"[723, 329, 50, 76]",748.0,367.0,,,
124,2.1016949152542375,False,,,,,,
125,2.1186440677966103,False,,,,,,
126,2.135593220338983,True,"[723, 329, 50, 76]",748.0,367.0,,,
127,2.152542372881356,False,,,,,,
128,2.169491525423729,False,,,,,,
129,2.1864406779661016,True,"[723, 329, 50, 76]",748.0,367.0,,,
130,2.2033898305084745,False,,,,,,
131,2.2203389830508473,False,,,,,,
132,2.23728813559322,True,"[723, 329, 50, 76]",748.0,367.0,,,
133,2.2542372881355934,False,,,,,,
134,2.2711864406779663,False,,,,,,
135,2.288135593220339,True,"[723, 329, 50, 76]",748.0,367.0,,,
136,2.305084745762712,False,,,,,,
137,2.3220338983050848,False,,,,,,
138,2.3389830508474576,True,"[723, 329, 50, 76]",748.0,367.0,,,
139,2.3559322033898304,False,,,,,,
140,2.3728813559322033,False,,,,,,
141,2.389830508474576,True,"[723, 329, 50, 76]",748.0,367.0,,,
142,2.406779661016949,False,,,,,,
143,2.4237288135593222,False,,,,,,
144,2.440677966101695,True,"[723, 329, 50, 76]",748.0,367.0,,,
145,2.457627118644068,False,,,,,,
146,2.4745762711864407,False,,,,,,
147,2.4915254237288136,True,"[723, 329, 50, 76]",748.0,367.0,,,
148,2.5084745762711864,False,,,,,,
149,2.5254237288135593,False,,,,,,
150,2.542372881355932,True,"[723, 329, 50, 76]",748.0,367.0,,,
151,2.559322033898305,False,,,,,,
152,2.5762711864406778,False,,,,,,
153,2.593220338983051,True,"[723, 329, 50, 76]",748.0,367.0,,,
154,2.610169491525424,False,,,,,,
155,2.6271186440677967,False,,,,,,
156,2.6440677966101696,True,"[723, 329, 50, 76]",748.0,367.0,,,
157,2.6610169491525424,False,,,,,,
158,2.6779661016949152,False,,,,,,
159,2.694915254237288,True,"[723, 329, 50, 76]",748.0,367.0,,,
160,2.711864406779661,False,,,,,,
161,2.7288135593220337,False,,,,,,
162,2.7457627118644066,True,"[723, 329, 50, 76]",748.0,367.0,,,
163,2.76271186440678,False,,,,,,
164,2.7796610169491527,False,,,,,,
165,2.7966101694915255,True,"[723, 329, 50, 76]",748.0,367.0,,,
166,2.8135593220338984,False,,,,,,
167,2.830508474576271,False,,,,,,
168,2.847457627118644,True,"[723, 329, 50, 76]",748.0,367.0,,,
169,2.864406779661017,False,,,,,,
170,2.8813559322033897,False,,,,,,
171,2.8983050847457625,True,"[723, 329, 50, 76]",748.0,367.0,,,
172,2.9152542372881354,False,,,,,,
173,2.9322033898305087,False,,,,,,
174,2.9491525423728815,True,"[723, 329, 50, 76]",748.0,367.0,,,
175,2.9661016949152543,False,,,,,,
176,2.983050847457627,False,,,,,,
177,3.0,True,"[723, 329, 50, 76]",748.0,367.0,,,
178,3.016949152542373,False,,,,,,
179,3.0338983050847457,False,,,,,,
180,3.0508474576271185,True,"[723, 329, 50, 76]",748.0,367.0,,,
181,3.0677966101694913,False,,,,,,
182,3.0847457627118646,False,,,,,,
183,3.1016949152542375,True,"[723, 329, 50, 76]",748.0,367.0,,,
184,3.1186440677966103,False,,,,,,
185,3.135593220338983,False,,,,,,
